total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,sessions,exclude_near_gap,tp_r_multiple,timeout_bars,swing_lookback,rolling_level_n,spread_points,slippage_points,entry_delay_bars,atr_floor_mult,atr_cap_mult
2020,0.3821782178217822,1.1050135517226602,0.06203070273237112,0.06203070273237112,-1.0,125.30201951938966,-35.5125355090977,15,5.5,session::ny_overlap_only,"sweep_reclaim,rejection,compression_expansion,momentum_break",ny_overlap,False,2.0,16,3,20,0.0,0.0,0,,
1946,0.3910585817060637,1.1048681773081368,0.060182646646636084,0.060182646646636084,-1.0,117.11543037435382,-29.361854609250173,13,5.920349434737924,session::london_only,"sweep_reclaim,rejection,compression_expansion,momentum_break",london,False,2.0,16,3,20,0.0,0.0,0,,
5788,0.3859709744298549,1.063231885350912,0.03631513932445165,0.03631513932445165,-1.0,210.19202640992614,-87.34138626138352,18,6.0717000691085,session::london_ny,"sweep_reclaim,rejection,compression_expansion,momentum_break","london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
1929,0.392431311560394,1.0630207717064177,0.03584479057228412,0.03584479057228412,-1.0,69.14460101393607,-38.97192186936724,18,6.334888543286677,session::asia_only,"sweep_reclaim,rejection,compression_expansion,momentum_break",asia,False,2.0,16,3,20,0.0,0.0,0,,
7160,0.3824022346368715,1.0405424382881983,0.023450240896800017,0.023450240896800017,-1.0,167.90372482108813,-96.61106626943693,16,6.157821229050279,session::all_sessions,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
2489,0.379268782643632,0.9998885031983215,-6.420875317178075e-05,-6.420875317178075e-05,-1.0,-0.1598155866445623,-87.0560159049365,14,6.177983125753315,session::ny_only,"sweep_reclaim,rejection,compression_expansion,momentum_break",ny,False,2.0,16,3,20,0.0,0.0,0,,
