total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,sessions,exclude_near_gap,tp_r_multiple,timeout_bars,swing_lookback,rolling_level_n,spread_points,slippage_points,entry_delay_bars,atr_floor_mult,atr_cap_mult
7208,0.38165926748057716,1.0432946462115675,0.025298457826597783,0.025298457826597783,-1.0,182.35128401411683,-85.87532500925042,16,6.083102108768036,atr::floor_0.5_cap_2.5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,0.5,2.5
7120,0.3830056179775281,1.0414982848348118,0.023965406460037027,0.023965406460037027,-1.0,170.63369399546363,-101.7078120038149,16,6.2462078651685395,atr::floor_0.5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,0.5,
7160,0.3824022346368715,1.0405424382881983,0.023450240896800017,0.023450240896800017,-1.0,167.90372482108813,-96.61106626943693,16,6.157821229050279,atr::raw_structural,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
7246,0.3807617996135799,1.0404729381946047,0.023704509306933096,0.023704509306933096,-1.0,171.76287443803722,-93.55923063913681,16,5.993513662710461,atr::cap_2.5,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,2.5
