total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,sessions,exclude_near_gap,tp_r_multiple,timeout_bars,swing_lookback,rolling_level_n,spread_points,slippage_points,entry_delay_bars,atr_floor_mult,atr_cap_mult
614,0.4153094462540717,1.0823804344413777,0.04223354026122339,0.04223354026122339,-0.4827950352006879,25.931393720391164,-23.711369605512328,10,8.781758957654723,combo::compression_only,compression_expansion,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
3648,0.3988486842105263,1.060245189914259,0.03314781571484271,0.03314781571484271,-1.0,120.9232317277462,-49.11241608873509,17,7.276041666666667,combo::sweep_compression,"sweep_reclaim,compression_expansion","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
7173,0.37975742367210374,1.0517200956552333,0.030319414725188933,0.030319414725188933,-1.0,217.4811618237802,-86.65594564293006,16,5.8267112784051305,combo::all_minus_momentum,"sweep_reclaim,rejection,compression_expansion","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
7138,0.3795180722891566,1.0505380856857431,0.029685945194075185,0.029685945194075185,-1.0,211.89827679530867,-87.57291905039355,16,5.773746147380218,combo::sweep_rejection,"sweep_reclaim,rejection","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
6106,0.3732394366197183,1.049895200665173,0.03014706548763585,0.03014706548763585,-1.0,184.0779818675045,-75.9492566148568,18,5.030789387487717,combo::rejection_only,rejection,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
3515,0.397724039829303,1.0494932971791502,0.027495034079289372,0.027495034079289372,-1.0,96.64504478870214,-56.2035049618335,17,7.095305832147937,combo::sweep_only,sweep_reclaim,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
7160,0.3824022346368715,1.0405424382881983,0.023450240896800017,0.023450240896800017,-1.0,167.90372482108813,-96.61106626943693,16,6.157821229050279,combo::all_families,"sweep_reclaim,rejection,compression_expansion,momentum_break","asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
1887,0.43296237413884475,1.0355531264220124,0.016569350857651263,0.016569350857651263,-0.2806430006697948,31.266365068387934,-54.35976783824093,13,10.538420773714892,combo::momentum_only,momentum_break,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
