total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,sessions,exclude_near_gap,tp_r_multiple,timeout_bars,swing_lookback,rolling_level_n,spread_points,slippage_points,entry_delay_bars,atr_floor_mult,atr_cap_mult
614,0.4153094462540717,1.0823804344413777,0.04223354026122339,0.04223354026122339,-0.4827950352006879,25.931393720391164,-23.711369605512328,10,8.781758957654723,family::compression_expansion,compression_expansion,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
6106,0.3732394366197183,1.049895200665173,0.03014706548763585,0.03014706548763585,-1.0,184.0779818675045,-75.9492566148568,18,5.030789387487717,family::rejection,rejection,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
3515,0.397724039829303,1.0494932971791502,0.027495034079289372,0.027495034079289372,-1.0,96.64504478870214,-56.2035049618335,17,7.095305832147937,family::sweep_reclaim,sweep_reclaim,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
1887,0.43296237413884475,1.0355531264220124,0.016569350857651263,0.016569350857651263,-0.2806430006697948,31.266365068387934,-54.35976783824093,13,10.538420773714892,family::momentum_break,momentum_break,"asia,london,ny,ny_overlap",False,2.0,16,3,20,0.0,0.0,0,,
