strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
PEM,M15,short,2020-11-30 20:00:00+00:00,2020-11-30 20:30:00+00:00,1768.805,1772.648,1772.648,1761.1190000000004,3,sl,-1.0
PEM,M15,long,2020-12-01 11:45:00+00:00,2020-12-01 14:45:00+00:00,1786.018,1789.115,1782.685,1792.6840000000002,13,timeout,0.9291929192918998
PEM,M15,long,2020-12-03 10:45:00+00:00,2020-12-03 13:45:00+00:00,1833.855,1831.935,1827.469,1846.627,13,timeout,-0.3006576886940311
PEM,M15,long,2020-12-04 01:15:00+00:00,2020-12-04 04:15:00+00:00,1837.718,1840.688,1829.468,1854.218,13,timeout,0.3600000000000033
PEM,M15,long,2020-12-07 13:00:00+00:00,2020-12-07 15:30:00+00:00,1841.325,1834.505,1834.505,1854.965,11,sl,-1.0
PEM,M15,long,2020-12-07 21:15:00+00:00,2020-12-07 22:00:00+00:00,1838.948,1858.5140000000004,1829.165,1858.5140000000004,4,tp,2.0
PEM,M15,short,2020-12-08 18:30:00+00:00,2020-12-08 20:00:00+00:00,1861.738,1865.038,1865.038,1855.1380000000001,7,sl,-1.0
PEM,M15,short,2020-12-09 08:15:00+00:00,2020-12-09 10:45:00+00:00,1867.188,1859.7480000000005,1870.908,1859.7480000000005,11,tp,2.0
PEM,M15,short,2020-12-09 11:00:00+00:00,2020-12-09 14:00:00+00:00,1860.755,1860.635,1866.358,1849.5490000000004,13,timeout,0.021417097983244995
PEM,M15,short,2020-12-10 00:30:00+00:00,2020-12-10 03:30:00+00:00,1841.285,1833.315,1858.125,1807.6050000000002,13,timeout,0.47327790973872125
PEM,M15,short,2020-12-11 01:15:00+00:00,2020-12-11 04:15:00+00:00,1830.357,1834.758,1843.378,1804.315,13,timeout,-0.33799247369634294
PEM,M15,long,2020-12-11 17:00:00+00:00,2020-12-11 18:00:00+00:00,1836.565,1831.743,1831.743,1846.2090000000003,5,sl,-1.0
PEM,M15,long,2020-12-14 21:30:00+00:00,2020-12-14 23:45:00+00:00,1832.535,1823.345,1823.345,1850.9150000000002,10,sl,-1.0
PEM,M15,long,2020-12-15 11:30:00+00:00,2020-12-15 14:15:00+00:00,1834.568,1841.5939999999998,1831.055,1841.5939999999998,12,tp,2.0
PEM,M15,long,2020-12-16 01:45:00+00:00,2020-12-16 04:45:00+00:00,1852.458,1853.718,1847.518,1862.3380000000002,13,timeout,0.25506072874493463
PEM,M15,short,2020-12-17 00:00:00+00:00,2020-12-17 02:30:00+00:00,1854.235,1845.3089999999995,1858.698,1845.3089999999995,11,tp,2.0
PEM,M15,long,2020-12-17 16:00:00+00:00,2020-12-17 19:00:00+00:00,1881.542,1878.188,1869.798,1905.0299999999997,13,timeout,-0.2855926430517574
PEM,M15,long,2020-12-17 20:15:00+00:00,2020-12-17 23:15:00+00:00,1883.308,1888.508,1873.798,1902.328,13,timeout,0.5467928496319716
PEM,M15,short,2020-12-19 03:15:00+00:00,2020-12-21 06:30:00+00:00,1879.305,1884.758,1884.758,1868.3990000000001,11,sl,-1.0
PEM,M15,long,2020-12-21 13:45:00+00:00,2020-12-21 14:00:00+00:00,1906.338,1898.455,1898.455,1922.104,2,sl,-1.0
PEM,M15,short,2020-12-22 12:45:00+00:00,2020-12-22 15:45:00+00:00,1876.718,1872.748,1882.255,1865.644,13,timeout,0.7169947625067731
PEM,M15,short,2020-12-23 02:15:00+00:00,2020-12-23 06:00:00+00:00,1861.855,1860.038,1867.9,1849.7649999999999,13,timeout,0.30057899090156914
PEM,M15,short,2020-12-23 19:30:00+00:00,2020-12-23 20:45:00+00:00,1859.045,1868.865,1868.865,1839.4050000000002,6,sl,-1.0
