strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
VWAP_MR,M5,short,2020-12-17 15:25:00+00:00,2020-12-17 17:05:00+00:00,1878.035,1877.335,1887.4251749999999,1870.1957179072601,21,timeout,0.07454600153884912
VWAP_MR,M5,short,2020-12-17 22:15:00+00:00,2020-12-17 23:55:00+00:00,1894.475,1885.688,1903.9473749999997,1883.6018161059121,21,timeout,0.9276448620330134
VWAP_MR,M5,long,2020-12-18 08:25:00+00:00,2020-12-18 10:05:00+00:00,1878.878,1879.985,1869.48361,1883.8276109156507,21,timeout,0.11783628314344828
VWAP_MR,M5,short,2020-12-18 19:05:00+00:00,2020-12-18 20:45:00+00:00,1883.795,1887.018,1893.213975,1880.1991446499023,21,timeout,-0.34218160680966014
VWAP_MR,M5,short,2020-12-21 07:20:00+00:00,2020-12-21 08:20:00+00:00,1886.465,1895.8973249999997,1895.8973249999997,1881.1135680470104,13,sl,-1.0
VWAP_MR,M5,short,2020-12-22 20:25:00+00:00,2020-12-22 21:45:00+00:00,1877.628,1872.975175461648,1887.0161399999997,1872.975175461648,17,tp,0.4956066418217113
VWAP_MR,M5,short,2020-12-23 21:40:00+00:00,2020-12-23 23:20:00+00:00,1871.888,1871.038,1881.2474399999996,1865.9630628196423,21,timeout,0.09081739933157693
VWAP_MR,M5,short,2020-12-24 08:05:00+00:00,2020-12-24 09:45:00+00:00,1874.845,1879.008,1884.2192249999998,1871.57479558848,21,timeout,-0.4440900447770457
VWAP_MR,M5,short,2020-12-28 06:05:00+00:00,2020-12-28 07:45:00+00:00,1884.268,1887.218,1893.68934,1876.222033626942,21,timeout,-0.31311894061779805
VWAP_MR,M5,long,2020-12-28 13:35:00+00:00,2020-12-28 15:15:00+00:00,1881.225,1884.155,1871.818875,1893.0804344158923,21,timeout,0.31149915613497287
VWAP_MR,M5,long,2020-12-28 19:00:00+00:00,2020-12-28 20:25:00+00:00,1870.144,1881.0589289038176,1860.79328,1881.0589289038176,18,tp,1.1672821883039657
VWAP_MR,M5,short,2020-12-28 21:25:00+00:00,2020-12-28 22:55:00+00:00,1890.695,1880.0697075029486,1900.1484749999997,1880.0697075029486,19,tp,1.1239562697369518
VWAP_MR,M5,short,2020-12-30 08:00:00+00:00,2020-12-30 09:40:00+00:00,1879.568,1882.598,1888.9658399999998,1878.2365059963536,21,timeout,-0.32241451227090673
VWAP_MR,M5,short,2020-12-30 22:00:00+00:00,2020-12-30 23:40:00+00:00,1886.968,1886.705,1896.40284,1880.8373005569088,21,timeout,0.027875406472197755
VWAP_MR,M5,long,2020-12-31 10:20:00+00:00,2020-12-31 12:00:00+00:00,1888.208,1888.785,1878.7669600000002,1895.2391188623653,21,timeout,0.06111614822095897
VWAP_MR,M5,short,2021-01-01 04:00:00+00:00,2021-01-04 06:00:00+00:00,1900.518,1910.0205899999999,1910.0205899999999,1895.2592328145781,14,sl,-1.0
VWAP_MR,M5,short,2021-01-04 06:05:00+00:00,2021-01-04 07:45:00+00:00,1909.728,1911.768,1919.2766399999998,1895.1983470061255,21,timeout,-0.21364298999648296
VWAP_MR,M5,short,2021-01-04 15:30:00+00:00,2021-01-04 17:10:00+00:00,1932.308,1931.398,1941.9695399999998,1923.96794927755,21,timeout,0.09418788309111154
