strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
VWAP_MR,M15,short,2020-12-01 18:30:00+00:00,2020-12-01 21:00:00+00:00,1807.565,1812.018,1816.602825,1787.1749107542178,11,timeout,-0.4927070395808761
VWAP_MR,M15,short,2020-12-02 17:45:00+00:00,2020-12-02 20:15:00+00:00,1830.298,1826.075,1839.4494899999997,1815.958383463154,11,timeout,0.4614549106211203
VWAP_MR,M15,short,2020-12-03 11:00:00+00:00,2020-12-03 13:30:00+00:00,1835.555,1834.165,1844.732775,1824.7792242390979,11,timeout,0.15145283034287915
VWAP_MR,M15,long,2020-12-07 16:00:00+00:00,2020-12-07 18:30:00+00:00,1828.755,1830.365,1819.611225,1836.535976395846,11,timeout,0.17607607361291142
VWAP_MR,M15,short,2020-12-07 22:00:00+00:00,2020-12-07 22:00:00+00:00,1845.885,1855.1144249999998,1855.1144249999998,1835.297189571246,1,sl,-1.0
VWAP_MR,M15,long,2020-12-09 10:45:00+00:00,2020-12-09 13:15:00+00:00,1861.798,1861.815,1852.48901,1868.1860442643647,11,timeout,0.001826191670638035
VWAP_MR,M15,long,2020-12-09 22:15:00+00:00,2020-12-10 00:45:00+00:00,1840.425,1841.058,1831.222875,1859.0207188395889,11,timeout,0.06878845918741992
VWAP_MR,M15,short,2020-12-10 21:00:00+00:00,2020-12-10 23:00:00+00:00,1844.648,1837.0992575654611,1853.8712399999997,1837.0992575654611,9,tp,0.8184480111694958
VWAP_MR,M15,short,2020-12-15 11:45:00+00:00,2020-12-15 14:15:00+00:00,1834.865,1840.928,1844.0393249999997,1828.694201975639,11,timeout,-0.6608660582658978
VWAP_MR,M15,short,2020-12-15 15:45:00+00:00,2020-12-15 18:15:00+00:00,1844.605,1844.045,1853.8280249999998,1832.4282023476849,11,timeout,0.06071760620837077
VWAP_MR,M15,short,2020-12-17 08:45:00+00:00,2020-12-17 11:15:00+00:00,1866.588,1864.848,1875.9209399999997,1857.3136847747555,11,timeout,0.18643642839234476
VWAP_MR,M15,short,2020-12-17 13:15:00+00:00,2020-12-17 15:30:00+00:00,1869.218,1878.5640899999999,1878.5640899999999,1858.2562412535005,10,sl,-1.0
VWAP_MR,M15,short,2020-12-17 15:45:00+00:00,2020-12-17 18:15:00+00:00,1879.565,1875.248,1888.9628249999998,1862.2247675763451,11,timeout,0.45936160760602657
VWAP_MR,M15,short,2020-12-21 08:00:00+00:00,2020-12-21 08:30:00+00:00,1889.205,1898.6510249999997,1898.6510249999997,1883.3208022888593,3,sl,-1.0
VWAP_MR,M15,long,2020-12-21 17:30:00+00:00,2020-12-21 20:00:00+00:00,1871.508,1877.845,1862.15046,1892.5398255454986,11,timeout,0.6772078986571266
VWAP_MR,M15,short,2020-12-23 22:00:00+00:00,2020-12-24 00:30:00+00:00,1874.628,1871.711,1884.0011399999996,1866.2246146839584,11,timeout,0.3112084104152943
VWAP_MR,M15,short,2020-12-24 09:45:00+00:00,2020-12-24 12:15:00+00:00,1879.588,1876.475,1888.9859399999998,1869.9267994008237,11,timeout,0.33124280427414
VWAP_MR,M15,short,2020-12-28 06:15:00+00:00,2020-12-28 08:15:00+00:00,1884.268,1893.68934,1893.68934,1876.0674763280178,9,sl,-1.0
VWAP_MR,M15,short,2020-12-30 09:00:00+00:00,2020-12-30 11:30:00+00:00,1883.305,1885.265,1892.721525,1878.6559823223604,11,timeout,-0.2081447243011689
VWAP_MR,M15,short,2020-12-30 22:15:00+00:00,2020-12-31 00:45:00+00:00,1887.308,1888.298,1896.7445399999997,1881.3286330288336,11,timeout,-0.1049113340270948
VWAP_MR,M15,short,2020-12-31 09:30:00+00:00,2020-12-31 10:30:00+00:00,1897.628,1887.1145152650881,1907.1161399999996,1887.1145152650881,5,tp,1.1080659365178136
VWAP_MR,M15,short,2021-01-04 06:15:00+00:00,2021-01-04 08:45:00+00:00,1909.728,1917.468,1919.2766399999998,1894.9569929599447,11,timeout,-0.810586638516083
VWAP_MR,M15,short,2021-01-05 21:30:00+00:00,2021-01-05 21:45:00+00:00,1951.095,1943.2855589557116,1960.8504749999997,1943.2855589557116,2,tp,0.8005187901448818
VWAP_MR,M15,short,2021-01-06 17:00:00+00:00,2021-01-06 19:00:00+00:00,1955.599,1948.8076582157187,1965.3769949999996,1948.8076582157187,9,tp,0.6945536159797047
VWAP_MR,M15,long,2021-01-08 15:15:00+00:00,2021-01-08 17:45:00+00:00,1887.995,1890.375,1878.555025,1911.1882229583957,11,timeout,0.25211931175666336
VWAP_MR,M15,short,2021-01-12 13:00:00+00:00,2021-01-12 15:30:00+00:00,1857.335,1857.785,1866.6216749999999,1846.6708825759201,11,timeout,-0.04845652507491149
VWAP_MR,M15,short,2021-01-12 17:15:00+00:00,2021-01-12 19:45:00+00:00,1862.218,1860.455,1871.5290899999998,1851.5022970349573,11,timeout,0.1893441047181592
VWAP_MR,M15,long,2021-01-12 21:30:00+00:00,2021-01-13 00:00:00+00:00,1839.758,1842.678,1830.5592100000001,1853.4225405520908,11,timeout,0.3174330536951163
VWAP_MR,M15,short,2021-01-15 01:15:00+00:00,2021-01-15 03:45:00+00:00,1857.198,1848.025,1866.48399,1843.4783974401855,11,timeout,0.9878322074437021
VWAP_MR,M15,long,2021-01-18 07:15:00+00:00,2021-01-18 09:45:00+00:00,1811.075,1828.688,1802.0196250000001,1835.8057023027675,11,timeout,1.9450326463564707
VWAP_MR,M15,short,2021-01-20 08:30:00+00:00,2021-01-20 11:00:00+00:00,1844.595,1848.415,1853.817975,1839.8260593271254,11,timeout,-0.41418305915390374
VWAP_MR,M15,short,2021-01-20 14:30:00+00:00,2021-01-20 17:00:00+00:00,1853.995,1854.598,1863.2649749999996,1844.7024735866423,11,timeout,-0.06504871911737461
VWAP_MR,M15,long,2021-01-20 20:30:00+00:00,2021-01-20 21:00:00+00:00,1835.035,1849.3211589619295,1825.859825,1849.3211589619295,3,tp,1.557044847856235
VWAP_MR,M15,short,2021-01-20 23:00:00+00:00,2021-01-21 01:30:00+00:00,1868.015,1866.315,1877.355075,1852.2981478289003,11,timeout,0.1820113864182112
VWAP_MR,M15,short,2021-01-25 18:15:00+00:00,2021-01-25 20:45:00+00:00,1862.755,1864.455,1872.068775,1854.676915887121,11,timeout,-0.18252534552314667
VWAP_MR,M15,long,2021-01-27 19:00:00+00:00,2021-01-27 21:30:00+00:00,1839.458,1842.905,1830.26071,1847.1249993900037,11,timeout,0.3747843114656452
VWAP_MR,M15,short,2021-01-28 21:00:00+00:00,2021-01-28 21:15:00+00:00,1850.595,1859.847975,1859.847975,1839.1694063748846,2,sl,-1.0
VWAP_MR,M15,short,2021-01-29 17:45:00+00:00,2021-01-29 18:45:00+00:00,1852.895,1862.1594749999997,1862.1594749999997,1844.6837670109223,5,sl,-1.0
VWAP_MR,M15,long,2021-02-02 20:45:00+00:00,2021-02-02 23:15:00+00:00,1833.275,1838.067,1824.108625,1851.1784081745657,11,timeout,0.522780270281317
VWAP_MR,M15,long,2021-02-04 21:30:00+00:00,2021-02-04 21:45:00+00:00,1795.885,1786.905575,1786.905575,1818.4484542105145,2,sl,-1.0
VWAP_MR,M15,short,2021-02-06 00:15:00+00:00,2021-02-06 02:45:00+00:00,1814.225,1810.465,1823.2961249999996,1802.577438720195,11,timeout,0.4145020601083229
VWAP_MR,M15,short,2021-02-08 20:15:00+00:00,2021-02-08 22:15:00+00:00,1825.793,1834.9219649999998,1834.9219649999998,1814.7431468548587,9,sl,-1.0
VWAP_MR,M15,short,2021-02-10 21:00:00+00:00,2021-02-10 21:45:00+00:00,1854.585,1842.535199250836,1863.8579249999998,1842.535199250836,4,tp,1.2994606069998724
VWAP_MR,M15,long,2021-02-12 00:15:00+00:00,2021-02-12 02:45:00+00:00,1830.485,1821.332575,1821.332575,1840.2491008080322,11,sl,-1.0
VWAP_MR,M15,short,2021-02-12 23:15:00+00:00,2021-02-13 01:45:00+00:00,1827.893,1822.895,1837.0324649999998,1817.9537034984114,11,timeout,0.5468591432868539
VWAP_MR,M15,short,2021-02-16 09:00:00+00:00,2021-02-16 11:30:00+00:00,1824.674,1825.625,1833.7973699999998,1819.3583221028898,11,timeout,-0.10423779809434926
VWAP_MR,M15,short,2021-02-19 21:15:00+00:00,2021-02-19 23:45:00+00:00,1783.025,1784.035,1791.9401249999999,1771.0670103480215,11,timeout,-0.11329061566719681
VWAP_MR,M15,short,2021-02-22 16:45:00+00:00,2021-02-22 19:15:00+00:00,1797.785,1796.195,1806.773925,1786.6206072370785,11,timeout,0.17688433266493675
