,total_trades,win_rate,profit_factor,expectancy_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars
PEM_M5,4990.0,0.412625250501002,0.978334500597745,-0.010139970945989268,-0.27598860542782666,-50.59845502048645,-126.34292088523968,15.0,16.9124248496994
PEM_M15,1778.0,0.44938132733408326,1.0792286379327263,0.030722252851867016,-0.101254119197825,54.62416557061955,-41.30957541067128,8.0,10.31496062992126
VWAP_MR_M5,2660.0,0.5225563909774437,0.9070865906932075,-0.019738344212661272,0.030367857167503155,-52.50399560567898,-62.44774645765083,9.0,16.98233082706767
VWAP_MR_M15,1034.0,0.48452611218568664,0.9224597182344745,-0.02205591944324052,-0.0241059178597322,-22.805820704310698,-34.57401656578612,10.0,8.9642166344294
