experiment,total_trades,win_rate,profit_factor,expectancy_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars
mid_high_vol_only,1105,0.4588235294117647,1.1068178886008382,0.037265009885141094,-0.07524388293619258,41.177835923080906,-19.704614293833743,17,10.692307692307692
strong_slope_only,941,0.4569606801275239,1.0883689268366004,0.03172369092071645,-0.07638658253072757,29.85199315639418,-33.26032174988033,10,10.520722635494154
baseline,1778,0.44938132733408326,1.0792286379327263,0.030722252851867016,-0.101254119197825,54.62416557061955,-41.30957541067128,8,10.31496062992126
high_vol_only,560,0.46785714285714286,1.1001686254695546,0.029534786134998107,-0.04979403131730148,16.53948023559894,-16.934317942088967,11,11.183928571428572
moderate_strong_slope,1375,0.4516363636363636,1.06713342618038,0.02563556554882596,-0.09777777777775622,35.248902629635694,-45.10160143228917,8,10.34690909090909
exclude_asia,1394,0.4340028694404591,1.034012299387464,0.014452464407813448,-0.17054795845546392,20.146735384491947,-39.012222465796555,11,9.982783357245337
london_ny_only,835,0.43952095808383235,1.0179476412176194,0.007421209216591549,-0.16216216216214924,6.196709695853944,-34.81211286343595,10,10.240718562874251
combo_london_ny_midvol_slope,263,0.4372623574144487,1.0064823240443515,0.002377938320831389,-0.11398848344097237,0.6253977783786553,-11.291898518659183,7,10.87832699619772
