trend_bucket,total_trades,win_rate,profit_factor,expectancy_r,sum_r,max_drawdown_r,avg_holding_bars
Strong,1013,0.45409674234945707,1.0907419545748487,0.03295267138818608,33.3810561162325,-39.219664158829154,10.518262586377098
Flat,352,0.4289772727272727,1.0789107716425994,0.032543743745080095,11.455397798268194,-19.57892711192406,10.071022727272727
Moderate,413,0.4552058111380145,1.0554818616156285,0.023699059700045672,9.787711656118862,-18.767765253793176,10.024213075060533
