hour,total_trades,win_rate,profit_factor,expectancy_r,sum_r,max_drawdown_r,avg_holding_bars
20,61,0.4918032786885246,1.594730188766683,0.2229378868825825,13.599211099837532,-7.929313405698641,8.737704918032787
2,66,0.5757575757575758,2.1722260078156967,0.18215444199172084,12.022193171453576,-2.3433049348876898,12.303030303030303
1,109,0.5504587155963303,1.8216071419371285,0.17756619568133394,19.3547153292654,-4.781175503957384,11.357798165137615
10,81,0.5555555555555556,1.5987980359251135,0.16405479008290313,13.288437996715153,-4.383104095027605,11.481481481481481
14,43,0.5348837209302325,1.407244753570495,0.14375115641877328,6.181299726007252,-4.7707302623025365,10.55813953488372
17,99,0.40404040404040403,1.2643712008533914,0.11859078242972154,11.740487460542433,-5.765786863264831,10.262626262626263
5,27,0.4444444444444444,1.27976448901066,0.10656235290771984,2.8771835285084357,-5.813104063112039,11.333333333333334
19,106,0.41509433962264153,1.163907218767471,0.08564736504647673,9.078620694926533,-11.436138249976409,7.952830188679245
6,34,0.5,1.1109760613678148,0.04957238919301603,1.6854612325625449,-4.591022711204728,9.235294117647058
16,62,0.43548387096774194,1.115386291421432,0.0436334521976261,2.7052740362528183,-6.346907220214973,11.306451612903226
12,154,0.45454545454545453,1.093092198292983,0.0418012323834822,6.437389787056258,-11.148923854371036,9.616883116883116
9,37,0.40540540540540543,1.1525862490022427,0.03955044820117201,1.4633665834433645,-3.713815421509896,12.297297297297296
11,126,0.4523809523809524,1.076177046595449,0.031128636069993474,3.922208144819178,-17.32954176117974,10.84920634920635
0,109,0.47706422018348627,1.0268824142406328,0.005937034468620207,0.6471367570796025,-10.00683102387027,12.119266055045872
7,87,0.39080459770114945,0.9964362669974883,-0.0016454624186702604,-0.14315523042431266,-7.88642466373731,9.068965517241379
18,131,0.40458015267175573,0.9418695978517171,-0.030831759175989917,-4.038960452054679,-14.976253464654484,8.992366412213741
3,50,0.46,0.8792205542969026,-0.031548031229645175,-1.5774015614822587,-4.76781701526646,11.74
13,118,0.3983050847457627,0.8684483373043504,-0.061521093264400105,-7.259489005199212,-14.972860264290329,9.525423728813559
22,28,0.39285714285714285,0.8343776485701391,-0.062086921261596824,-1.738433795324711,-4.507499670854584,10.892857142857142
4,10,0.5,0.8090264824466303,-0.06316166319375391,-0.631616631937539,-2.418707241766428,13.0
21,33,0.3939393939393939,0.8579415241998651,-0.06972395098664472,-2.3008903825592757,-7.7124030233012135,8.515151515151516
15,40,0.4,0.749295356119771,-0.10366335173898351,-4.1465340695593405,-10.636459159107575,10.275
23,94,0.425531914893617,0.6678826960567155,-0.11225789116287141,-10.552241769309912,-12.88162529775392,11.595744680851064
8,73,0.3698630136986301,0.5027023984678998,-0.24643968602738756,-17.99009707999929,-20.478305236593453,9.232876712328768
