vol_bucket,total_trades,win_rate,profit_factor,expectancy_r,sum_r,max_drawdown_r,avg_holding_bars
HighVol,579,0.47322970639032813,1.1581722399623215,0.04750654799209099,27.506291287420684,-12.728797460832595,10.967184801381693
MidVol,538,0.44981412639405205,1.0712999031468786,0.029017352641772326,15.61133572127351,-13.752144517001271,10.219330855018587
LowVol,661,0.4281391830559758,1.0387953559698295,0.017407773921218398,11.506538561925362,-34.899562552269046,9.821482602118003
