signal_time,body_ratio,close_position,ret_1,ret_3,ret_5,vol_5,vol_10,atr_14,dist_to_roll_high,dist_to_roll_low,up_streak,down_streak,eff_10,hour,weekday,h1_regime,label,r_mult
2020-11-30 15:00:00+00:00,0.11075407026565223,0.35025706940874646,0.0002904350796140154,0.001967803870108087,0.004262151955277016,0.00042066220086448545,0.0005745279541000679,3.140785714285682,-0.4230000000000018,16.360000000000127,7,0,0.8906148399682317,15,0,-1,1,2.0
2020-11-30 18:00:00+00:00,0.6208621450640005,0.37472414300426893,-0.002343024421089357,-0.0040731739758731456,-0.004626317680949121,0.0009140801119805357,0.0010883359834558055,3.3372142857142535,-16.572999999999865,-1.2129999999999654,0,3,0.6457670846583229,18,0,-1,0,-1.0
2020-11-30 22:00:00+00:00,0.5549334328729647,0.5735971133507378,0.0025471908043588343,0.002399993675310741,0.0036014785850542186,0.002593574204845401,0.0018635759805942513,4.2359285714285955,-1.8299999999999272,10.569999999999936,1,0,0.21320367285265762,22,0,-1,0,-1.0
2020-12-01 00:00:00+00:00,0.7797960484384804,0.9321223709369117,0.0013688950203003536,0.004236178201145302,0.0055769966234548995,0.001177951587302263,0.0018788240949515285,4.8015,0.17699999999990723,17.319999999999936,4,0,0.23984178353109686,0,1,1,0,-0.5708502024291503
2020-12-01 10:00:00+00:00,0.840517241379353,0.9094827586206715,0.001106030109845113,0.002101861608710953,0.0015221255837858383,0.0008385075150112052,0.0005903636892942397,1.8332857142856938,1.3170000000000073,7.759999999999991,1,0,0.6133651551312855,10,1,1,1,0.8568784700802571
2020-12-01 14:45:00+00:00,0.6001188354129503,0.9090909090908968,0.0005799523287015607,0.001724490281545421,0.0016835488111581753,0.000350317779731843,0.000493731089710828,2.0328571428571456,0.40000000000009095,8.1099999999999,3,0,0.6052150603143867,14,1,1,1,2.0
2020-12-01 17:00:00+00:00,0.7716262975778343,0.837370242214529,0.0012435140703896952,0.0021191714413602014,0.0017965591985784624,0.000938337759353851,0.0006997503149006552,2.4752857142856817,0.7000000000000455,12.120000000000118,3,0,0.608983258472849,17,1,1,1,2.0
2020-12-01 18:00:00+00:00,0.7703130495954783,0.9497010200492308,0.0012181724631834534,0.0028637889487832524,0.00371381332232934,0.0006686665730896615,0.0007566638098957528,2.7599999999999745,1.1499999999998636,15.396999999999935,3,0,0.5950146837619088,18,1,1,1,0.8896339452566882
2020-12-01 18:15:00+00:00,0.9519628747021431,0.9895898657970831,0.004211192995419388,0.006216397662407447,0.006688814197439719,0.0017184125343466029,0.0014029719196543625,3.2092857142856865,7.4370000000001255,22.97700000000009,4,0,0.7292664240566945,18,1,1,0,-0.04291614293410508
2020-12-01 21:00:00+00:00,0.634776411900956,0.6989132371280888,0.0019701900240813863,0.0020017717338771668,0.00372237713662793,0.0009775567721847884,0.0010457872853977966,3.734499999999993,1.1200000000001182,21.160000000000082,2,0,0.38092694002939426,21,1,1,1,0.41642778390298457
