year,total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars
2020,59.0,0.3559322033898305,0.994846858990503,-0.0032867140299966974,-0.0032867140299966974,-1.0,-0.19391612776980516,-8.630665920537174,6.0,2.694915254237288
2021,519.0,0.30828516377649323,0.836805915248093,-0.10876266364380245,-0.10876266364380245,-1.0,-56.447822431133474,-65.34466688084652,18.0,2.5394990366088632
2022,588.0,0.3129251700680272,0.8422737819150224,-0.10449814651556556,-0.10449814651556556,-1.0,-61.44491015115255,-69.99149480959184,12.0,2.692176870748299
2023,573.0,0.31239092495637,0.8408241182141671,-0.10639913405924023,-0.10639913405924023,-1.0,-60.966703815944655,-77.92675625710798,15.0,2.8359511343804535
2024,549.0,0.36065573770491804,1.0279296999362315,0.017220843971767846,0.017220843971767846,-1.0,9.454243340500547,-42.947015102541684,13.0,2.907103825136612
2025,503.0,0.36182902584493043,0.9975943461510279,-0.0014860511465696286,-0.0014860511465696286,-1.0,-0.7474837267245231,-53.07044582110964,21.0,3.085487077534791
