split,total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars
test,559.0,0.3613595706618962,0.9959191354933906,-0.0025208804049525707,-0.0025208804049525707,-1.0,-1.409172146368487,-53.07044582110964,21.0,3.10912343470483
train,1674.0,0.3130227001194743,0.8452159953274498,-0.10295726486526338,-0.10295726486526338,-1.0,-172.3504613844509,-199.54367141860348,18.0,2.6726403823178018
val,558.0,0.3548387096774194,1.0098493413104632,0.006116560248377989,0.006116560248377989,-1.0,3.413040618594918,-42.94701510254169,13.0,2.9050179211469533
