strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,session,hour,atr_pct_rank
PEM_M15_V2,M15,long,2020-12-04 01:15:00+00:00,2020-12-04 04:15:00+00:00,1837.718,1840.688,1829.468,1854.218,13,timeout,0.3600000000000033,Asia,1,0.8645833333333334
PEM_M15_V2,M15,short,2020-12-10 00:30:00+00:00,2020-12-10 03:30:00+00:00,1841.285,1833.315,1858.125,1807.6050000000002,13,timeout,0.47327790973872125,Asia,0,0.90625
PEM_M15_V2,M15,short,2020-12-11 01:15:00+00:00,2020-12-11 04:15:00+00:00,1830.357,1834.758,1843.378,1804.315,13,timeout,-0.33799247369634294,Asia,1,0.7291666666666666
PEM_M15_V2,M15,long,2020-12-16 01:45:00+00:00,2020-12-16 04:45:00+00:00,1852.458,1853.718,1847.518,1862.3380000000002,13,timeout,0.25506072874493463,Asia,1,0.7291666666666666
PEM_M15_V2,M15,short,2020-12-19 03:15:00+00:00,2020-12-21 06:30:00+00:00,1879.305,1884.758,1884.758,1868.3990000000001,11,sl,-1.0,Asia,3,0.5625
PEM_M15_V2,M15,short,2020-12-23 02:15:00+00:00,2020-12-23 06:00:00+00:00,1861.855,1860.038,1867.9,1849.7649999999999,13,timeout,0.30057899090156914,Asia,2,0.7083333333333334
PEM_M15_V2,M15,long,2020-12-28 06:30:00+00:00,2020-12-28 09:30:00+00:00,1886.135,1897.508,1876.418,1905.5690000000002,13,timeout,1.1704229700524784,Asia,6,0.875
PEM_M15_V2,M15,short,2020-12-29 03:45:00+00:00,2020-12-29 07:15:00+00:00,1873.505,1877.708,1877.708,1865.0990000000002,12,sl,-1.0,Asia,3,0.53125
PEM_M15_V2,M15,long,2020-12-31 01:15:00+00:00,2020-12-31 04:15:00+00:00,1889.188,1891.958,1884.375,1898.8140000000003,13,timeout,0.5755246208186003,Asia,1,0.71875
PEM_M15_V2,M15,short,2021-01-01 01:45:00+00:00,2021-01-01 02:45:00+00:00,1891.845,1896.014,1896.014,1883.5070000000003,5,sl,-1.0,Asia,1,0.9166666666666666
PEM_M15_V2,M15,long,2021-01-06 00:15:00+00:00,2021-01-06 03:15:00+00:00,1951.098,1950.795,1945.665,1961.964,13,timeout,-0.05577029265596981,Asia,0,0.8020833333333334
PEM_M15_V2,M15,long,2021-01-06 06:45:00+00:00,2021-01-06 08:30:00+00:00,1951.385,1947.615,1947.615,1958.925,8,sl,-1.0,Asia,6,0.09375
PEM_M15_V2,M15,short,2021-01-09 01:45:00+00:00,2021-01-09 04:45:00+00:00,1834.538,1847.145,1862.228,1779.158,13,timeout,-0.4552907186709984,Asia,1,1.0
PEM_M15_V2,M15,short,2021-01-13 00:45:00+00:00,2021-01-13 01:45:00+00:00,1840.258,1846.058,1846.058,1828.6580000000001,5,sl,-1.0,Asia,0,0.84375
PEM_M15_V2,M15,long,2021-01-13 03:45:00+00:00,2021-01-13 07:30:00+00:00,1855.768,1858.358,1846.568,1874.1680000000001,13,timeout,0.2815217391304245,Asia,3,0.7291666666666666
PEM_M15_V2,M15,long,2021-01-23 00:30:00+00:00,2021-01-23 03:30:00+00:00,1856.335,1855.271,1851.475,1866.0550000000003,13,timeout,-0.21893004115227374,Asia,0,0.8958333333333334
PEM_M15_V2,M15,short,2021-01-29 01:30:00+00:00,2021-01-29 02:15:00+00:00,1838.488,1843.165,1843.165,1829.1340000000002,4,sl,-1.0,Asia,1,0.96875
PEM_M15_V2,M15,short,2021-02-03 01:45:00+00:00,2021-02-03 04:45:00+00:00,1833.405,1838.005,1844.085,1812.0449999999998,13,timeout,-0.4307116104869016,Asia,1,0.75
PEM_M15_V2,M15,long,2021-02-06 00:30:00+00:00,2021-02-06 03:30:00+00:00,1814.703,1812.115,1806.175,1831.759,13,timeout,-0.3034709193245731,Asia,0,0.8020833333333334
PEM_M15_V2,M15,short,2021-02-12 00:30:00+00:00,2021-02-12 03:30:00+00:00,1827.565,1823.947,1837.995,1806.7050000000004,13,timeout,0.34688398849474805,Asia,0,0.8958333333333334
PEM_M15_V2,M15,short,2021-02-16 01:00:00+00:00,2021-02-16 07:30:00+00:00,1817.715,1820.735,1820.735,1811.675,8,sl,-1.0,Asia,0,0.08333333333333333
PEM_M15_V2,M15,short,2021-02-18 02:00:00+00:00,2021-02-18 05:00:00+00:00,1771.735,1775.785,1780.068,1755.0689999999997,13,timeout,-0.486019440777648,Asia,1,0.71875
PEM_M15_V2,M15,short,2021-03-02 00:30:00+00:00,2021-03-02 03:30:00+00:00,1729.615,1721.615,1740.825,1707.195,13,timeout,0.7136485280999085,Asia,0,0.8125
PEM_M15_V2,M15,long,2021-03-06 00:45:00+00:00,2021-03-06 03:45:00+00:00,1701.389,1698.348,1694.085,1715.9969999999996,13,timeout,-0.4163472070098574,Asia,0,0.6875
PEM_M15_V2,M15,long,2021-03-08 06:30:00+00:00,2021-03-08 09:30:00+00:00,1708.435,1711.421,1696.865,1731.5749999999998,13,timeout,0.25808124459810894,Asia,6,0.4583333333333333
PEM_M15_V2,M15,long,2021-03-11 00:30:00+00:00,2021-03-11 03:30:00+00:00,1718.859,1725.424,1710.494,1735.589,13,timeout,0.7848176927674893,Asia,0,0.8958333333333334
PEM_M15_V2,M15,long,2021-03-18 01:30:00+00:00,2021-03-18 05:15:00+00:00,1741.774,1748.734,1727.135,1771.0519999999997,13,timeout,0.47544231163331413,Asia,1,1.0
PEM_M15_V2,M15,long,2021-03-18 05:45:00+00:00,2021-03-18 08:45:00+00:00,1749.025,1751.518,1743.634,1759.8070000000002,13,timeout,0.4624373956594144,Asia,5,0.8541666666666666
PEM_M15_V2,M15,short,2021-03-26 00:15:00+00:00,2021-03-26 03:15:00+00:00,1727.965,1727.695,1737.108,1709.6789999999999,13,timeout,0.029530788581426333,Asia,0,0.8645833333333334
PEM_M15_V2,M15,short,2021-03-31 02:00:00+00:00,2021-03-31 05:45:00+00:00,1681.608,1684.84,1687.558,1669.7079999999999,13,timeout,-0.5431932773109154,Asia,1,0.5104166666666666
PEM_M15_V2,M15,short,2021-04-13 02:00:00+00:00,2021-04-13 05:45:00+00:00,1727.758,1732.165,1735.488,1712.298,13,timeout,-0.5701164294954612,Asia,1,0.75
PEM_M15_V2,M15,long,2021-04-14 00:45:00+00:00,2021-04-14 03:45:00+00:00,1746.698,1745.348,1727.665,1784.7640000000004,13,timeout,-0.07092943834393566,Asia,0,0.8125
PEM_M15_V2,M15,long,2021-04-23 06:30:00+00:00,2021-04-23 09:30:00+00:00,1784.905,1787.757,1779.435,1795.845,13,timeout,0.5213893967093373,Asia,6,0.3229166666666667
PEM_M15_V2,M15,short,2021-04-29 01:15:00+00:00,2021-04-29 01:15:00+00:00,1771.248,1775.758,1775.758,1762.228,1,sl,-1.0,Asia,1,0.7916666666666666
PEM_M15_V2,M15,long,2021-05-01 01:00:00+00:00,2021-05-01 04:00:00+00:00,1770.108,1768.428,1765.575,1779.1739999999998,13,timeout,-0.37061548643279785,Asia,0,0.7604166666666666
PEM_M15_V2,M15,short,2021-05-13 03:45:00+00:00,2021-05-13 07:30:00+00:00,1815.418,1814.945,1824.768,1796.7179999999996,13,timeout,0.05058823529411224,Asia,3,0.71875
PEM_M15_V2,M15,long,2021-05-14 01:45:00+00:00,2021-05-14 05:30:00+00:00,1824.718,1826.448,1821.608,1830.9380000000003,13,timeout,0.5562700964630056,Asia,1,0.5833333333333334
PEM_M15_V2,M15,long,2021-05-22 01:00:00+00:00,2021-05-22 04:00:00+00:00,1876.885,1880.898,1872.458,1885.7389999999998,13,timeout,0.9064829455613291,Asia,0,0.84375
PEM_M15_V2,M15,short,2021-05-25 06:45:00+00:00,2021-05-25 09:45:00+00:00,1877.755,1876.388,1881.455,1870.3550000000005,13,timeout,0.36945945945952874,Asia,6,0.10416666666666667
PEM_M15_V2,M15,short,2021-05-27 01:15:00+00:00,2021-05-27 05:00:00+00:00,1893.108,1895.998,1904.808,1869.7079999999999,13,timeout,-0.2470085470085546,Asia,1,0.90625
PEM_M15_V2,M15,long,2021-05-28 00:45:00+00:00,2021-05-28 03:45:00+00:00,1895.598,1896.948,1890.128,1906.538,13,timeout,0.24680073126144966,Asia,0,0.71875
PEM_M15_V2,M15,short,2021-06-17 01:30:00+00:00,2021-06-17 05:15:00+00:00,1834.638,1811.628,1860.288,1783.3379999999997,13,timeout,0.8970760233918094,Asia,1,1.0
PEM_M15_V2,M15,short,2021-06-19 03:30:00+00:00,2021-06-21 07:15:00+00:00,1762.805,1770.985,1773.758,1740.8990000000001,13,timeout,-0.746827353236543,Asia,3,0.8125
PEM_M15_V2,M15,short,2021-06-23 03:15:00+00:00,2021-06-23 07:00:00+00:00,1775.088,1777.528,1780.748,1763.7679999999998,13,timeout,-0.4310954063604274,Asia,3,0.5520833333333334
PEM_M15_V2,M15,short,2021-06-24 02:30:00+00:00,2021-06-24 06:15:00+00:00,1776.878,1776.938,1783.768,1763.0979999999997,13,timeout,-0.008708272859241209,Asia,2,0.7395833333333334
PEM_M15_V2,M15,short,2021-06-30 02:30:00+00:00,2021-06-30 06:15:00+00:00,1761.708,1761.658,1765.361,1754.402,13,timeout,0.01368738023547266,Asia,2,0.71875
PEM_M15_V2,M15,long,2021-07-02 00:30:00+00:00,2021-07-02 03:30:00+00:00,1774.468,1776.315,1769.628,1784.1480000000004,13,timeout,0.38161157024791825,Asia,0,0.84375
PEM_M15_V2,M15,long,2021-07-03 01:15:00+00:00,2021-07-05 05:00:00+00:00,1788.108,1787.448,1781.358,1801.608,13,timeout,-0.09777777777775622,Asia,1,0.78125
PEM_M15_V2,M15,short,2021-07-08 03:30:00+00:00,2021-07-08 07:15:00+00:00,1802.418,1803.518,1806.358,1794.5379999999998,13,timeout,-0.279187817258914,Asia,3,0.6666666666666666
PEM_M15_V2,M15,short,2021-07-12 07:00:00+00:00,2021-07-12 07:30:00+00:00,1806.558,1808.838,1808.838,1801.998,3,sl,-1.0,Asia,6,0.020833333333333332
PEM_M15_V2,M15,short,2021-07-14 00:45:00+00:00,2021-07-14 03:45:00+00:00,1808.698,1807.218,1814.838,1796.4180000000003,13,timeout,0.24104234527688093,Asia,0,0.8020833333333334
PEM_M15_V2,M15,long,2021-07-15 01:00:00+00:00,2021-07-15 04:00:00+00:00,1825.158,1826.868,1821.248,1832.9779999999996,13,timeout,0.437340153452711,Asia,0,0.6979166666666666
PEM_M15_V2,M15,long,2021-07-16 06:30:00+00:00,2021-07-16 08:30:00+00:00,1831.198,1828.628,1828.628,1836.3380000000004,9,sl,-1.0,Asia,6,0.020833333333333332
PEM_M15_V2,M15,short,2021-07-27 01:45:00+00:00,2021-07-27 05:30:00+00:00,1796.825,1797.548,1800.628,1789.2190000000003,13,timeout,-0.19011306863002325,Asia,1,0.59375
PEM_M15_V2,M15,long,2021-08-12 00:45:00+00:00,2021-08-12 03:45:00+00:00,1751.168,1752.148,1747.948,1757.6079999999995,13,timeout,0.3043478260869811,Asia,0,0.8229166666666666
PEM_M15_V2,M15,long,2021-08-16 05:15:00+00:00,2021-08-16 08:15:00+00:00,1779.698,1781.698,1773.278,1792.5380000000002,13,timeout,0.3115264797507753,Asia,5,0.5
