total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,tp_r_multiple,timeout_bars,swing_lookback,exclude_near_gap
8800,0.4034090909090909,1.009237445832485,0.004792816415453346,0.004792816415453346,-0.5860378190163134,42.17678445598945,-165.436821326085,19,6.296136363636363,grid::tp2.0_to12_sw5,2.0,12,5,False
9128,0.39636283961437335,1.0062932367946502,0.003369204099334841,0.003369204099334841,-0.9880564603691502,30.754095018728428,-191.99438589859184,18,5.9255039439088515,grid::tp2.0_to12_sw4,2.0,12,4,False
9686,0.3872599628329548,1.0044315543008384,0.002471194114741168,0.002471194114741168,-1.0,23.935986195382952,-222.96319657771738,19,5.379929795581251,grid::tp2.0_to12_sw3,2.0,12,3,False
8489,0.38072800094239606,1.0032786287187536,0.0017719355313722417,0.0017719355313722417,-1.0,15.04196072581896,-198.16582562665025,19,6.591471315820473,grid::tp2.5_to12_sw5,2.5,12,5,False
7471,0.37143622005086335,1.0023539033759654,0.0013275758027300531,0.0013275758027300531,-1.0,9.918318822196227,-179.39443206538067,25,8.060902154999331,grid::tp2.5_to16_sw5,2.5,16,5,False
7686,0.42753057507155867,1.0015600921295627,0.0008140997561028008,0.0008140997561028008,-0.7810067608093535,6.257170725406127,-172.91827480247534,19,8.002341920374707,grid::tp1.5_to20_sw5,1.5,20,5,False
6771,0.36183724708314874,1.0003567242043048,0.00020836380308465388,0.00020836380308465388,-1.0,1.4108313106861914,-187.82120312399272,19,9.38458130261409,grid::tp2.5_to20_sw5,2.5,20,5,False
7775,0.3930546623794212,0.9998451575129378,-8.393550819895297e-05,-8.393550819895297e-05,-1.0,-0.6525985762468594,-180.19374474499404,25,7.682057877813505,grid::tp2.0_to16_sw5,2.0,16,5,False
9339,0.43441481957383016,0.9986059931233824,-0.0006809752024581835,-0.0006809752024581835,-0.3407264545162038,-6.359627415756975,-155.6228000542418,16,5.8174322732626615,grid::tp1.5_to12_sw5,1.5,12,5,False
8113,0.38654012079378774,0.9982763959023928,-0.0009617701848029483,-0.0009617701848029483,-1.0,-7.802841509306319,-192.5534318350854,19,7.173178848761247,grid::tp2.0_to16_sw4,2.0,16,4,False
8114,0.37121025388217893,0.9979587392006869,-0.0012156396496155702,-0.0012156396496155702,-1.0,-9.863700116980738,-233.27920351468742,19,7.19608084791718,grid::tp2.0_to20_sw3,2.0,20,3,False
8781,0.37159776790798316,0.9974737163491973,-0.001412199976595959,-0.001412199976595959,-1.0,-12.400527994489117,-219.18886020876255,21,6.2512242341418975,grid::tp2.5_to12_sw4,2.5,12,4,False
7059,0.3850403739906502,0.9972671281510971,-0.0015306072313161906,-0.0015306072313161906,-1.0,-10.804556445860989,-186.6963905006045,19,8.916702082447939,grid::tp2.0_to20_sw5,2.0,20,5,False
8728,0.3778643446379468,0.9950821591205613,-0.0028539596817829557,-0.0028539596817829557,-1.0,-24.90936010260164,-202.1888084469564,19,6.3889780018331805,grid::tp2.0_to16_sw3,2.0,16,3,False
7452,0.379495437466452,0.9931878754462803,-0.003928474861864721,-0.003928474861864721,-1.0,-29.274994670615897,-208.16294384861894,19,8.204240472356414,grid::tp2.0_to20_sw4,2.0,20,4,False
9255,0.3607779578606159,0.992783510538195,-0.004212937678562343,-0.004212937678562343,-1.0,-38.99073821509449,-250.23371220688176,23,5.718962722852512,grid::tp2.5_to12_sw3,2.5,12,3,False
