total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,use_m5_confirmation,exclude_near_gap,m5_confirmation_mode,m5_confirmation_window_bars
5413,0.5248475891372621,1.9716361511435965,0.42239557656369064,0.42239557656369064,0.21935483870963104,2286.4272559392575,-22.83115827190852,14,6.844633290227231,m5::m5_micro_break,True,False,micro_break,3.0
8062,0.4106921359464153,1.164800890494337,0.0901586649851265,0.0901586649851265,-1.0,726.8591571100898,-82.92397248283535,17,6.665095509799057,m5::m5_simple_reclaim,True,False,simple_reclaim,3.0
8728,0.3778643446379468,0.9950821591205613,-0.0028539596817829557,-0.0028539596817829557,-1.0,-24.90936010260164,-202.1888084469564,19,6.3889780018331805,m5::m5_off,False,False,,
