total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,families,exclude_near_gap
631,0.4120443740095087,1.065351900869105,0.03371017357165667,0.03371017357165667,-0.5129449838187956,21.27111952371536,-30.41133673396882,10,8.63391442155309,combo::compression_only,compression_expansion,False
4864,0.4048108552631579,1.0126041728559085,0.006622292746583707,0.006622292746583707,-0.6915093341794911,32.21083191938315,-119.79372614306473,17,8.888774671052632,combo::momentum_only,momentum_break,False
8728,0.3778643446379468,0.9950821591205613,-0.0028539596817829557,-0.0028539596817829557,-1.0,-24.90936010260164,-202.1888084469564,19,6.3889780018331805,combo::all_families,"sweep_reclaim,rejection,compression_expansion,momentum_break",False
8116,0.3672991621488418,0.9906010323761694,-0.005644089992582278,-0.005644089992582278,-1.0,-45.80743437979777,-213.50506644362537,19,5.397486446525382,combo::all_minus_momentum,"sweep_reclaim,rejection,compression_expansion",False
8043,0.3649135894566704,0.9840851605531004,-0.0096114780823045,-0.0096114780823045,-1.0,-77.30511821597509,-228.95170758497608,19,5.297401467114261,combo::sweep_rejection,"sweep_reclaim,rejection",False
6750,0.35777777777777775,0.9835044936542437,-0.010233695945019664,-0.010233695945019664,-1.0,-69.07744762888274,-221.1849590232067,17,4.574222222222223,combo::rejection_only,rejection,False
3951,0.38319412806884334,0.9798388583156559,-0.011482519705947663,-0.011482519705947663,-1.0,-45.36743535819922,-139.2223462596594,13,6.838268792710706,combo::sweep_compression,"sweep_reclaim,compression_expansion",False
3774,0.37864334923158455,0.9620179407602202,-0.0219550309077163,-0.0219550309077163,-1.0,-82.85828664572131,-155.61137389961198,15,6.61420243773185,combo::sweep_only,sweep_reclaim,False
