total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,exclude_near_gap
8728,0.3778643446379468,0.9950821591205613,-0.0028539596817829557,-0.0028539596817829557,-1.0,-24.90936010260164,-202.1888084469564,19,6.3889780018331805,gap::exclude_False,False
8647,0.3787440730889326,0.9977106245173899,-0.001326126481392323,-0.001326126481392323,-1.0,-11.467015684599417,-197.634489131885,18,6.393778188967272,gap::exclude_True,True
