total_trades,win_rate,profit_factor,expectancy_r,avg_r,median_r,sum_r,max_drawdown_r,max_losing_streak,avg_holding_bars,scenario,spread_points,slippage_points,entry_delay_bars,exclude_near_gap
8728,0.3778643446379468,0.9950821591205613,-0.0028539596817829557,-0.0028539596817829557,-1.0,-24.90936010260164,-202.1888084469564,19,6.3889780018331805,adverse::base,0.0,0.0,0,False
8693,0.37386402852870126,0.9825622361205543,-0.010156845799901837,-0.010156845799901837,-1.0,-88.29346053854667,-242.66408125382864,19,6.4213735189232715,adverse::spread_10,0.1,0.0,0,False
8662,0.3716231817132302,0.9694650832267582,-0.017847762586594422,-0.017847762586594422,-1.0,-154.59731952508088,-288.26397689725144,24,6.44874163010852,adverse::spread_20,0.2,0.0,0,False
8662,0.3716231817132302,0.9694650832267582,-0.017847762586594422,-0.017847762586594422,-1.0,-154.59731952508088,-288.26397689725144,24,6.44874163010852,adverse::slip_10,0.0,0.1,0,False
8612,0.36611704598235023,0.9393491532214433,-0.035763420403718646,-0.035763420403718646,-1.0,-307.99457651682496,-393.67155479638376,24,6.500812819321877,adverse::slip_20,0.0,0.2,0,False
9206,0.35520312839452534,0.9123130520976607,-0.05303823747105394,-0.05303823747105394,-1.0,-488.2700141585226,-537.3209956968165,20,5.549315663697588,adverse::delay_1,0.0,0.0,1,False
