iter,sum_r,max_drawdown_r,win_rate
0,-24.909360102601674,-70.7490029095777,0.3778643446379468
1,-24.909360102601664,-125.0803574143326,0.3778643446379468
2,-24.909360102601674,-145.59184844060619,0.3778643446379468
3,-24.90936010260168,-116.73265830911002,0.3778643446379468
4,-24.909360102601653,-134.89682016418323,0.3778643446379468
5,-24.909360102601664,-132.1329726173275,0.3778643446379468
6,-24.909360102601646,-104.99441205212587,0.3778643446379468
7,-24.90936010260169,-143.48548374567935,0.3778643446379468
8,-24.90936010260168,-190.83032355376312,0.3778643446379468
9,-24.909360102601653,-171.70716872869218,0.3778643446379468
10,-24.90936010260168,-138.93143995165929,0.3778643446379468
11,-24.909360102601667,-125.55646489802864,0.3778643446379468
12,-24.909360102601642,-134.93778363199766,0.3778643446379468
13,-24.90936010260166,-131.36344904004494,0.3778643446379468
14,-24.909360102601685,-166.08829578714793,0.3778643446379468
15,-24.909360102601667,-127.00113680970347,0.3778643446379468
16,-24.909360102601653,-112.42111023072744,0.3778643446379468
17,-24.90936010260167,-139.10660558222924,0.3778643446379468
18,-24.909360102601664,-99.64395304327364,0.3778643446379468
19,-24.90936010260166,-129.86308430846546,0.3778643446379468
20,-24.909360102601653,-144.61171944526942,0.3778643446379468
21,-24.909360102601664,-132.93052715460473,0.3778643446379468
22,-24.90936010260167,-126.44666803540608,0.3778643446379468
23,-24.90936010260161,-170.67363409919062,0.3778643446379468
24,-24.909360102601667,-105.15835971995796,0.3778643446379468
25,-24.909360102601674,-152.3876000540622,0.3778643446379468
26,-24.90936010260169,-141.81696400274964,0.3778643446379468
27,-24.90936010260168,-135.1527415934813,0.3778643446379468
28,-24.909360102601656,-194.42316947955592,0.3778643446379468
29,-24.909360102601667,-116.62592992956196,0.3778643446379468
30,-24.90936010260168,-148.42423068273914,0.3778643446379468
31,-24.909360102601692,-98.58133724055463,0.3778643446379468
32,-24.90936010260163,-117.9306335415431,0.3778643446379468
33,-24.909360102601674,-192.19127093043588,0.3778643446379468
34,-24.90936010260165,-127.56705959164825,0.3778643446379468
35,-24.909360102601667,-146.6461425939013,0.3778643446379468
36,-24.909360102601696,-121.78422342646193,0.3778643446379468
37,-24.90936010260165,-101.93060823337561,0.3778643446379468
38,-24.909360102601685,-123.03904646885016,0.3778643446379468
39,-24.90936010260169,-109.74324674953806,0.3778643446379468
40,-24.909360102601667,-155.6586738697521,0.3778643446379468
41,-24.909360102601653,-185.94785404830571,0.3778643446379468
42,-24.909360102601674,-171.80392138142903,0.3778643446379468
43,-24.909360102601678,-187.09218081416466,0.3778643446379468
44,-24.909360102601703,-209.7170252974205,0.3778643446379468
45,-24.909360102601642,-212.44404918697234,0.3778643446379468
46,-24.909360102601646,-117.19607063545718,0.3778643446379468
47,-24.909360102601674,-108.6448657204119,0.3778643446379468
48,-24.909360102601653,-153.80650873474735,0.3778643446379468
49,-24.909360102601656,-169.20203608725024,0.3778643446379468
50,-24.90936010260164,-101.58030340941279,0.3778643446379468
51,-24.909360102601624,-160.9375739366287,0.3778643446379468
52,-24.909360102601664,-131.099184458666,0.3778643446379468
53,-24.909360102601656,-135.39705028687717,0.3778643446379468
54,-24.909360102601667,-120.37984410167937,0.3778643446379468
55,-24.909360102601667,-190.72377563713107,0.3778643446379468
56,-24.909360102601656,-176.15050737338743,0.3778643446379468
57,-24.909360102601646,-183.8358514389448,0.3778643446379468
58,-24.90936010260166,-134.29280648364798,0.3778643446379468
59,-24.909360102601738,-229.0334878264796,0.3778643446379468
60,-24.909360102601653,-122.18896648064117,0.3778643446379468
61,-24.909360102601667,-89.38840464687253,0.3778643446379468
62,-24.909360102601674,-195.2012583028728,0.3778643446379468
63,-24.909360102601628,-174.84741905695103,0.3778643446379468
64,-24.909360102601667,-126.44996667640658,0.3778643446379468
65,-24.909360102601664,-131.62889197175943,0.3778643446379468
66,-24.90936010260169,-104.25050647909146,0.3778643446379468
67,-24.9093601026017,-173.15791021009218,0.3778643446379468
68,-24.909360102601646,-162.19676832774,0.3778643446379468
69,-24.90936010260169,-147.52004905788516,0.3778643446379468
70,-24.909360102601646,-116.10657019828989,0.3778643446379468
71,-24.90936010260162,-224.42243419158672,0.3778643446379468
72,-24.909360102601667,-178.89772596273218,0.3778643446379468
73,-24.909360102601706,-135.24873281281924,0.3778643446379468
74,-24.909360102601667,-170.80529216034483,0.3778643446379468
75,-24.909360102601703,-176.62146756475317,0.3778643446379468
76,-24.90936010260169,-145.0561910535891,0.3778643446379468
77,-24.909360102601667,-97.89680918950944,0.3778643446379468
78,-24.909360102601685,-129.81849038662224,0.3778643446379468
79,-24.909360102601664,-161.39442397712855,0.3778643446379468
80,-24.90936010260168,-160.37951726009044,0.3778643446379468
81,-24.909360102601667,-116.57769256715066,0.3778643446379468
82,-24.909360102601674,-160.11236755656194,0.3778643446379468
83,-24.909360102601653,-197.1672869941885,0.3778643446379468
84,-24.909360102601717,-122.63180566492589,0.3778643446379468
85,-24.90936010260166,-126.87945325415576,0.3778643446379468
86,-24.90936010260166,-149.13387454973756,0.3778643446379468
87,-24.90936010260166,-104.22036560059715,0.3778643446379468
88,-24.90936010260166,-98.04430939690522,0.3778643446379468
89,-24.909360102601674,-92.83781135602074,0.3778643446379468
90,-24.909360102601653,-92.18637608800577,0.3778643446379468
91,-24.909360102601653,-134.9578241374802,0.3778643446379468
92,-24.90936010260168,-137.16327758472391,0.3778643446379468
93,-24.90936010260168,-121.5125361515017,0.3778643446379468
94,-24.909360102601667,-148.688431257331,0.3778643446379468
95,-24.909360102601667,-98.12342839627021,0.3778643446379468
96,-24.909360102601678,-204.92582269692855,0.3778643446379468
97,-24.90936010260164,-186.0572227497383,0.3778643446379468
98,-24.909360102601628,-138.80515020673803,0.3778643446379468
99,-24.90936010260169,-110.27025606702013,0.3778643446379468
100,-24.90936010260165,-156.65336039710002,0.3778643446379468
101,-24.909360102601674,-148.89747208391816,0.3778643446379468
102,-24.90936010260166,-116.52232489298048,0.3778643446379468
103,-24.909360102601678,-139.0429799671807,0.3778643446379468
104,-24.909360102601646,-105.74548961598774,0.3778643446379468
105,-24.909360102601692,-155.42409321601224,0.3778643446379468
106,-24.909360102601646,-134.6519834059226,0.3778643446379468
107,-24.909360102601653,-145.03383966189259,0.3778643446379468
108,-24.909360102601674,-176.6375662414283,0.3778643446379468
109,-24.909360102601667,-177.07854851361972,0.3778643446379468
110,-24.90936010260169,-176.7572917045501,0.3778643446379468
111,-24.909360102601653,-188.7210476097356,0.3778643446379468
112,-24.9093601026017,-152.46201234717276,0.3778643446379468
113,-24.909360102601653,-105.9915665508949,0.3778643446379468
114,-24.909360102601674,-156.49008201714486,0.3778643446379468
115,-24.90936010260167,-181.18144754496285,0.3778643446379468
116,-24.909360102601674,-95.01895376557167,0.3778643446379468
117,-24.909360102601656,-139.62582781124357,0.3778643446379468
118,-24.90936010260173,-173.4105245916526,0.3778643446379468
119,-24.90936010260168,-114.04203972041903,0.3778643446379468
120,-24.90936010260166,-121.78782530063754,0.3778643446379468
121,-24.909360102601646,-121.14129864908244,0.3778643446379468
122,-24.90936010260168,-169.91066042930916,0.3778643446379468
123,-24.90936010260164,-148.39666336066375,0.3778643446379468
124,-24.90936010260169,-141.88428756705247,0.3778643446379468
125,-24.90936010260169,-117.30071433462463,0.3778643446379468
126,-24.909360102601685,-100.15477084994815,0.3778643446379468
127,-24.909360102601653,-132.62548221461094,0.3778643446379468
128,-24.909360102601674,-196.02549840866305,0.3778643446379468
129,-24.909360102601653,-149.8595628778843,0.3778643446379468
130,-24.90936010260164,-129.92088885936894,0.3778643446379468
131,-24.909360102601667,-134.05266986451272,0.3778643446379468
132,-24.909360102601696,-177.01685343327446,0.3778643446379468
133,-24.90936010260168,-241.14843014752128,0.3778643446379468
134,-24.90936010260164,-97.2212497530338,0.3778643446379468
135,-24.90936010260164,-184.33111266159642,0.3778643446379468
136,-24.909360102601646,-208.2462001358437,0.3778643446379468
137,-24.909360102601667,-175.9278619595243,0.3778643446379468
138,-24.909360102601646,-151.33363581538646,0.3778643446379468
139,-24.90936010260167,-153.4755437330283,0.3778643446379468
